Id,Label,gender,age,team（复仇者联盟、银河护卫队、神盾局）,team(正派 (Hero)、反派 (Villain)、中立 (Neutral) -主属性-只写英文）,race,first_appearance（剧中）,cleaned_year,era,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Clustering Coefficient
Black Panther / T'chal,Black Panther / T'chal,male,35,"Avengers, Wakandan Royal Guard, Illuminati",Hero,Black,1966,1966,Silver Age,0.3098159509202454,0.0020376865427808193,0.5916515426497277,0.07851289043244147,0.5617821782178218
Loki [asgardian],Loki [asgardian],Male,1000,"Acts of Vengeance, Cabal, Young Avengers",Villain,White,1962,1962,Silver Age,0.1901840490797546,0.0015727285716438091,0.5497470489038786,0.04545256108312669,0.5579058699101005
Mantis / ? Brandt,Mantis / ? Brandt,Female,30,"Avengers, Guardians of the Galaxy",Neutral,Asian,1974,1974,Bronze Age,0.07668711656441718,1.5174107243463717e-05,0.48656716417910445,0.025171217930920302,0.9233333333333333
Iceman / Robert Bobby,Iceman / Robert Bobby,Male,25,"X-Men, Champions, Defenders",Hero,White,1963,1963,Silver Age,0.49693251533742333,0.012271723496886145,0.6653061224489796,0.11015790566803177,0.40794417606011807
Marvel Girl / Jean Grey,Marvel Girl / Jean Grey,Female,25,"X-Men, X-Factor, Phoenix Force",Hero,White,1963,1963,Silver Age,0.47546012269938653,0.00973607716879564,0.6559356136820925,0.10599805348752554,0.42312526183493926
Cyclops / Scott Summer,Cyclops / Scott Summer,Male,28,"X-Men, X-Factor, Phoenix Force",Hero,White,1963,1963,Silver Age,0.6042944785276074,0.02234756637425961,0.7164835164835165,0.1230877169196704,0.3353361649228219
Klaw / Ulysses Klaw,Klaw / Ulysses Klaw,Male,45,"Fearsome Four, Masters of Evil",Villain,Black,1966,1966,Silver Age,0.16564417177914112,0.0005195145767877252,0.5442404006677797,0.04427280382731409,0.7071977638015374
Human Torch / Johnny S,Human Torch / Johnny S,Male,27,"Fantastic Four, Avengers, Future Foundation",Hero,White,1961,1961,before 1961,0.5920245398773006,0.017855017006991485,0.710239651416122,0.12318061339697234,0.3390544041450777
"Richards, Franklin B","Richards, Franklin B",Male,10,"Fantastic Four, Future Foundation",Hero,White,1968,1968,Silver Age,0.2822085889570552,0.0025892109453048103,0.5821428571428572,0.07573843159479782,0.5838509316770186
Wolverine / Logan,Wolverine / Logan,Male,120,"X-Men, Avengers, X-Force, Alpha Flight",Hero,White,1974,1974,Bronze Age,0.6748466257668712,0.03548708687569773,0.7546296296296297,0.13121725624674463,0.2975508509755085
Firebird / Bonita Juar,Firebird / Bonita Juar,Female,32,"Avengers, Rangers",Hero,Other,1981,1981,Bronze Age,0.11656441717791412,3.655449409803768e-05,0.5182829888712241,0.03717265344236327,0.914651493598862
Mr. Fantastic / Reed R,Mr. Fantastic / Reed R,Male,45,"Fantastic Four, Illuminati, Future Foundation",Hero,White,1961,1961,before 1961,0.6073619631901841,0.021072080826848166,0.7180616740088106,0.12223773623673724,0.3174383428190535
Medusa / Medusalith Am,Medusa / Medusalith Am,Female,35,"Inhuman Royal Family, Frightful Four, Fantastic Four",Hero,White,1965,1965,Silver Age,0.15337423312883436,0.0001863740205072669,0.5406301824212272,0.046549297650006725,0.8318367346938775
Dr. Strange / Stephen,Dr. Strange / Stephen,Male,40,"Defenders, Illuminati, Avengers",Hero,White,1963,1963,Silver Age,0.4325153374233129,0.006539525831057112,0.6379647749510763,0.10245129311291311,0.4581560283687943
Jack Of Hearts / Jack,Jack Of Hearts / Jack,Male,25,"Avengers, Defenders",Hero,White,1981,1981,Bronze Age,0.1196319018404908,0.0001728892369364885,0.5283630470016207,0.03545190100373444,0.7773279352226721
Mephisto,Mephisto,Male,10000,,Villain,White,1968,1968,Silver Age,0.17177914110429449,0.001013698660343783,0.5460636515912898,0.041637005096311415,0.5948051948051948
Thanos,Thanos,Male,1000,"Infinity Watch, Black Order",Villain,Other,1973,1973,Bronze Age,0.2392638036809816,0.0005260464247009073,0.5679442508710801,0.07204052399905282,0.7782217782217782
Swordsman / Jacques Du,Swordsman / Jacques Du,Male,40,"Avengers, Lethal Legion",Hero,White,1965,1965,Silver Age,0.08588957055214724,2.577598050639084e-05,0.49544072948328266,0.02819029856951385,0.9047619047619048
Collector / Taneleer T,Collector / Taneleer T,Male,1000,Elders of the Universe,Neutral,White,1966,1966,Silver Age,0.09202453987730061,3.324958359981932e-05,0.5150078988941548,0.030496011162783984,0.903448275862069
Lockjaw [inhuman],Lockjaw [inhuman],Male,10,"Inhuman Royal Family, Pet Avengers",Hero,Other,1965,1965,Silver Age,0.13803680981595093,0.00010414470695350089,0.5266558966074314,0.043347410047627634,0.8737373737373737
Sub-mariner / Namor Ma,Sub-mariner / Namor Ma,Male,90,"Invaders, Defenders, Illuminati, X-Men, Cabal",Neutral,Other,1939,1939,before 1961,0.4386503067484663,0.008255105197595303,0.6404715127701375,0.09723074880311124,0.41337535703732886
Pharaoh Rama-tut,Pharaoh Rama-tut,Male,3000,,Villain,White,1963,1963,Silver Age,0.2607361963190184,0.0007782682606820221,0.573943661971831,0.0765694596879176,0.7176470588235294
Ant-man Ii / Scott Har,Ant-man Ii / Scott Har,Male,30,"Avengers, Future Foundation, Guardians of the Galaxy",Hero,Other,1979,1979,Bronze Age,0.15644171779141106,0.00042560373958370123,0.5379537953795379,0.04316837655793731,0.7192156862745098
Lyja Lazerfist [skru,Lyja Lazerfist [skru,Female,28,Fantastic Four,Neutral,Other,1991,1991,Modern Age,0.09815950920245399,8.328599936121432e-05,0.5232744783306581,0.027757515011420836,0.8044354838709677
Gorgon [inhuman],Gorgon [inhuman],Male,40,Inhuman Royal Family,Hero,White,1965,1965,Silver Age,0.13496932515337423,0.00010412160341935351,0.535303776683087,0.04252838177842218,0.8847780126849895
Nighthawk Ii / Kyle Ri,Nighthawk Ii / Kyle Ri,Male,35,"Squadron Supreme, Defenders",Hero,Black,1976,1976,Bronze Age,0.09815950920245399,6.632580773799944e-05,0.5207667731629393,0.029467193302771578,0.8508064516129032
"Cage, Luke / Carl Luca","Cage, Luke / Carl Luca",Male,35,"Avengers, Defenders, Heroes for Hire",Hero,White,1972,1972,Bronze Age,0.1901840490797546,0.001577716883330225,0.5516074450084603,0.05125136996165259,0.6345848757271285
Colossus Ii / Peter Ra,Colossus Ii / Peter Ra,Male,27,"X-Men, X-Force, Phoenix Force",Hero,White,1975,1975,Bronze Age,0.5766871165644172,0.01772873438190978,0.7025862068965517,0.11962853317015396,0.3509500512003641
Hellcat / Patsy Walker,Hellcat / Patsy Walker,Female,30,"Avengers, Defenders",Hero,Other,2012,2012,Modern Age,0.1901840490797546,0.0007359686147964566,0.5516074450084603,0.0530901228193391,0.6758328926493918
Karnak [inhuman],Karnak [inhuman],Male,35,Inhuman Royal Family,Hero,White,1965,1965,Silver Age,0.13803680981595093,0.00010967902298084175,0.5361842105263158,0.04335868751181424,0.8818181818181818
Death,Death,Female,10000,,Neutral,Other,1941,1941,before 1961,0.13190184049079756,0.0012676438528766254,0.535303776683087,0.041014164689778525,0.8372093023255814
Redwing,Redwing,Male,5,Avengers,Hero,Black,1969,1969,Silver Age,0.07668711656441718,0.00014515597273289133,0.5150078988941548,0.018821452349674948,0.7133333333333334
