Id,Label,gender,age,team（复仇者联盟、银河护卫队、神盾局）,team(正派 (Hero)、反派 (Villain)、中立 (Neutral) -主属性-只写英文）,race,first_appearance（剧中）,cleaned_year,era
Black Panther / T'chal,Black Panther / T'chal,male,35,"Avengers, Wakandan Royal Guard, Illuminati",Hero,Black,1966,1966,Silver Age
Loki [asgardian],Loki [asgardian],Male,1000,"Acts of Vengeance, Cabal, Young Avengers",Villain,White,1962,1962,Silver Age
Mantis / ? Brandt,Mantis / ? Brandt,Female,30,"Avengers, Guardians of the Galaxy",Neutral,Asian,1974,1974,Bronze Age
Iceman / Robert Bobby,Iceman / Robert Bobby,Male,25,"X-Men, Champions, Defenders",Hero,White,1963,1963,Silver Age
Marvel Girl / Jean Grey,Marvel Girl / Jean Grey,Female,25,"X-Men, X-Factor, Phoenix Force",Hero,White,1963,1963,Silver Age
Cyclops / Scott Summer,Cyclops / Scott Summer,Male,28,"X-Men, X-Factor, Phoenix Force",Hero,White,1963,1963,Silver Age
Klaw / Ulysses Klaw,Klaw / Ulysses Klaw,Male,45,"Fearsome Four, Masters of Evil",Villain,Black,1966,1966,Silver Age
Human Torch / Johnny S,Human Torch / Johnny S,Male,27,"Fantastic Four, Avengers, Future Foundation",Hero,White,1961,1961,before 1961
"Richards, Franklin B","Richards, Franklin B",Male,10,"Fantastic Four, Future Foundation",Hero,White,1968,1968,Silver Age
Wolverine / Logan,Wolverine / Logan,Male,120,"X-Men, Avengers, X-Force, Alpha Flight",Hero,White,1974,1974,Bronze Age
Firebird / Bonita Juar,Firebird / Bonita Juar,Female,32,"Avengers, Rangers",Hero,Other,1981,1981,Bronze Age
Mr. Fantastic / Reed R,Mr. Fantastic / Reed R,Male,45,"Fantastic Four, Illuminati, Future Foundation",Hero,White,1961,1961,before 1961
Medusa / Medusalith Am,Medusa / Medusalith Am,Female,35,"Inhuman Royal Family, Frightful Four, Fantastic Four",Hero,White,1965,1965,Silver Age
Dr. Strange / Stephen,Dr. Strange / Stephen,Male,40,"Defenders, Illuminati, Avengers",Hero,White,1963,1963,Silver Age
Jack Of Hearts / Jack,Jack Of Hearts / Jack,Male,25,"Avengers, Defenders",Hero,White,1981,1981,Bronze Age
Mephisto,Mephisto,Male,10000,,Villain,White,1968,1968,Silver Age
Thanos,Thanos,Male,1000,"Infinity Watch, Black Order",Villain,Other,1973,1973,Bronze Age
Swordsman / Jacques Du,Swordsman / Jacques Du,Male,40,"Avengers, Lethal Legion",Hero,White,1965,1965,Silver Age
Collector / Taneleer T,Collector / Taneleer T,Male,1000,Elders of the Universe,Neutral,White,1966,1966,Silver Age
Lockjaw [inhuman],Lockjaw [inhuman],Male,10,"Inhuman Royal Family, Pet Avengers",Hero,Other,1965,1965,Silver Age
Sub-mariner / Namor Ma,Sub-mariner / Namor Ma,Male,90,"Invaders, Defenders, Illuminati, X-Men, Cabal",Neutral,Other,1939,1939,before 1961
Pharaoh Rama-tut,Pharaoh Rama-tut,Male,3000,,Villain,White,1963,1963,Silver Age
Ant-man Ii / Scott Har,Ant-man Ii / Scott Har,Male,30,"Avengers, Future Foundation, Guardians of the Galaxy",Hero,Other,1979,1979,Bronze Age
Lyja Lazerfist [skru,Lyja Lazerfist [skru,Female,28,Fantastic Four,Neutral,Other,1991,1991,Modern Age
Gorgon [inhuman],Gorgon [inhuman],Male,40,Inhuman Royal Family,Hero,White,1965,1965,Silver Age
Nighthawk Ii / Kyle Ri,Nighthawk Ii / Kyle Ri,Male,35,"Squadron Supreme, Defenders",Hero,Black,1976,1976,Bronze Age
"Cage, Luke / Carl Luca","Cage, Luke / Carl Luca",Male,35,"Avengers, Defenders, Heroes for Hire",Hero,White,1972,1972,Bronze Age
Colossus Ii / Peter Ra,Colossus Ii / Peter Ra,Male,27,"X-Men, X-Force, Phoenix Force",Hero,White,1975,1975,Bronze Age
Hellcat / Patsy Walker,Hellcat / Patsy Walker,Female,30,"Avengers, Defenders",Hero,Other,2012,2012,Modern Age
Karnak [inhuman],Karnak [inhuman],Male,35,Inhuman Royal Family,Hero,White,1965,1965,Silver Age
Death,Death,Female,10000,,Neutral,Other,1941,1941,before 1961
